university,school,degree,recordCount
"National University of Singapore","School of Design & Environment","Bachelor of Arts (Architecture) ** #","1"
"Singapore Institute of Technology","Singapore Institute of Technology -Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Diagnostic Radiography) **","1"
"Nanyang Technological University","College of Business (Nanyang Business School)","Double Degree in Bachelor of Business (Hons) and Bachelor of Engineering (Hons) (Computer Science)","1"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Arts in Game Design^","1"
"National University of Singapore","Faculty of Science","Bachelor of Science (Pharmacy)(Hons) #","1"
"Singapore University of Social Sciences","S R Nathan School of Human Development","Bachelor of Early Childhood Education ^","1"
"National University of Singapore","Faculty of Science","Bachelor of Science^","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Biomedical
Engineering)","1"
"Singapore Institute of Technology","SIT-Trinity College Dublin","Bachelor of Science with Honours in
Physiotherapy","1"
"Singapore Management University","School of Economics (4-year programme) *","Cum Laude and above","1"
"Singapore Management University","School of Accountancy (4-years programme) *","Accountancy Cum Laude and above","1"
"Singapore Management University","School of Business (4-year programme) *","Business Management (4-year programme)","1"
"Singapore Institute of Technology","SIT / SIT-Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Diagnostic Radiography)","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Science (Project and Facilities Management)","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Arts (Architecture) #","1"
"Singapore Institute of Technology","SIT- DigiPen Institute of Technology","Bachelor of Engineering with Honours in Systems Engineering
(ElectroMechanical Systems)","1"
"Nanyang Technological University","College of Science","Mathematics and Economics","1"
"Nanyang Technological University","College of Business (Nanyang Business School)","Double Degree in Bachelor of Accountancy (Hons) and Bachelor of Business (Hons)","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Materials Engineering)","1"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Science in Computer Science in Real-Time Interactive
Simulation","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering
(Environmental Engineering)","1"
"Nanyang Technological University","College of Engineering","Chemical & Biomolecular Engineering and Economics **","1"
"Nanyang Technological University","National Institute of Education (NIE)","Science (and Education)^","1"
"Singapore Management University","School of Accountancy (4-years programme) *","Accountancy","1"
"Nanyang Technological University","College of Engineering","Electrical & Electronic Engineering","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Computer Engineering)","1"
"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in History","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Electrical Engineering)","1"
"National University of Singapore","School of Design & Environment","Bachelor of Arts (Architecture) # **","1"
"Singapore Institute of Technology","DigiPen Institute of Technology","Bachelor of Arts in Game Design","1"
"Singapore Management University","School of Social Sciences (4-year programme) *","Social Sciences (4-year programme)","1"
"Singapore Institute of Technology","SIT-Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Diagnostic Radiography) ^","1"
"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Inter-Disciplinary Double Major8","1"
"National University of Singapore","School of Computing","Bachelor of Computing (Communications and Media) **","1"
"Singapore Institute of Technology","Trinity College Dublin / Singapore Institute of Technology-Trinity College Dublin","Bachelor in Science (Radiation Therapy) **","1"
"Singapore Institute of Technology","Singapore Institute of Technology (SIT)","Bachelor of Science with Honours in Diagnostic Radiography","1"
"Singapore Management University","School of Social Sciences (4-years programme) *","Social Sciences","1"
"National University of Singapore","School of Computing","Bachelor of Computing (Information
Systems)","1"
"Singapore Institute of Technology","Technische Universität München","Bachelor of Science in Electrical Engineering & Information Technology **","1"
"National University of Singapore","Faculty of Science","Bachelor of Science (Pharmaceutical Science) (Hons) ^","1"
"National University of Singapore","School of Computing","Bachelor of Computing (Computer
Science)","1"
"Singapore Institute of Technology","Singapore Institute of Technology -Trinity College Dublin / Trinity College Dublin","Bachelor in Science (Radiation Therapy) **","1"
"Singapore Management University","School of Economics (4-year programme) *","Economics (4-year programme)","1"
"Nanyang Technological University","College of Engineering","Double Degree in Bachelor of Engineering (Hons) (Materials Engineering) and Bachelor of Arts (Hons) in Economics **","1"
"Singapore Management University","School of Law (4-year programme) *","Cum Laude and above#","1"
"Nanyang Technological University","College of Engineering","Bachelor of Engineering (Hons) (Mechanical Engineering)","1"
"Nanyang Technological University","College of Engineering","Bachelor of Arts (Hons) in Linguistics And Multilingual Studies","1"
"Nanyang Technological University","Lee Kong Chian School of Medicine","Medicine#**","1"
"National University of Singapore","College of Design and Engineering","Bachelor of Engineering (Materials
Science and Engineering)","1"
